|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|numexpress|rdeco|count_key_text|count_word_sent
2368|орудие|орудие|орудие|NOUN|2282|122|3|SPEC|||1|1.0
2371|тонна|тонн|тонн|NOUN|2284|122|5||||18|1.0
2373|мл-15|мл-15|МЛ-15|DSNU|2286|122|7|DSNU|||1|1.0
2387|машина|машину|машину|NOUN|2300|122|21|SPEC|||6|1.0
2410|порох|порохах|порохах|NOUN|2322|123|13|SPEC|||1|1.0
2432|рсзо|рсзо|РСЗО|ABVR|2344|124|5|SPEC|||2|1.0
2434|птур|птур|ПТУР|ABVR|2346|124|7|SPEC|||3|1.0
2442|передовой/от|передовой/от|передовой/от|NAME|2353|124|14|NAME|||1|1.0
2461|пво|пво|ПВО|ABVR|2372|124|33|SPEC|||1|1.0
2473|ису-152|ису-152|ИСУ-152|DSNU|2384|125|6|DSNU|||2|1.0
2481|корпус|корпуса|корпуса|NOUN|2392|126|3||||20|1.0
2487|метр|метров|метров|NOUN|2397|126|8||||15|1.0
2493|аппарат|аппарат|Аппарат|NOUN|2403|127|1|SPEC|||2|1.0
2507|метр|метра|метра|NOUN|2415|127|13||||15|1.0
2509|броня|броне|броне|NOUN|2417|127|15|SPEC|||28|1.0
2514|борт|борт|борт|NOUN|2421|127|19||||11|1.0
2522|броня|броню|броню|NOUN|2428|128|6|SPEC|||28|2.0
2534|броня|броню|броню|NOUN|2440|128|18|SPEC|||28|2.0
2538|т-64|т-64|Т-64|DSNU|2444|129|1|DSNU|||1|1.0
2556|опвт|опвт|ОПВТ|ABVR|2462|130|8|ABVR|||2|1.0
2573|высота|высоте|высоте|NOUN|2478|132|7||||5|1.0
2574|т64=2,2|т64=2,2|Т64=2,2|NAME|2479|132|8|NAME|||1|1.0
2578|опвт|опвт|ОПВТ|ABVR|2483|132|12|SPEC|||2|1.0
2586|куб|кубов|кубов|NOUN|2490|133|5|SPEC|||5|2.0
2620|куб|кубов|кубов|NOUN|2523|133|38|SPEC|||5|2.0
2649|танк|танк|танк|NOUN|2551|135|3|SPEC|||20|1.0
2656|т-15|т-15|Т-15|DSNU|2558|136|3|DSNU|||2|1.0
2662|цена|цена|цена|NOUN|2564|136|9||||6|1.0
2666|броня|брони|Брони|NOUN|2568|138|1|SPEC|||28|2.0
2670|тонна|тонн|тонн|NOUN|2571|138|4||||18|1.0
2677|квадрат|квадратов|квадратов|NOUN|2577|138|10||||7|1.0
2679|лоб|лоб|лоб|NOUN|2579|138|12||||4|1.0
2681|борт|борта|борта|NOUN|2581|138|14||||11|1.0
2683|часть|части|части|NOUN|2583|138|16||||6|1.0
2684|корпус|корпуса|корпуса|NOUN|2584|138|17||||20|2.0
2688|корпус|корпус|корпус|NOUN|2588|138|21||||20|2.0
2695|броня|брони|брони|NOUN|2595|138|28|SPEC|||28|2.0
2701|куб|кубов|кубов|NOUN|2600|138|33|SPEC|||5|1.0
2711|мто|мто|МТО|ABVR|2610|139|3|SPEC|||9|3.0
2724|мто|мто|МТО|ABVR|2623|139|16|SPEC|||9|3.0
2732|корпус|корпуса|корпуса|NOUN|2631|139|24||||20|1.0
2738|прибор|приборов|приборов|NOUN|2637|139|30|SPEC|||1|1.0
2740|мто|мто|МТО|ABVR|2639|139|32|SPEC|||9|3.0
2743|т-14|т-14|Т-14|DSNU|2642|139|35|DSNU|||3|1.0
2752|борт|борта|борта|NOUN|2651|139|44||||11|1.0
2760|дз|дз|ДЗ|ABVR|2659|139|52|SPEC|||12|2.0
2762|колесо|колёсами|колёсами|NOUN|2661|139|54||||11|1.0
2764|крыша|крыша|крыша|NOUN|2663|139|56||||11|1.0
2767|дз|дз|ДЗ|ABVR|2666|139|59|SPEC|||12|2.0
2775|фальшборт|фальшборта|фальшборта|NOUN|2674|139|67||||7|1.0
2784|бмп-3|бмп-3|БМП-3|DSNU|2683|140|8|DSNU|||3|1.0
2786|крыша|крыша|крыша|NOUN|2685|140|10||||11|1.0
2793|посадка|посадка|Посадка|NOUN|2692|141|3|TITL|||2|1.0
2796|машина|машину|машину|NOUN|2695|141|6|SPEC|||6|1.0
2798|мто|мто|МТО|ABVR|2697|141|8|SPEC|||9|1.0
2802|куба|куба|куба|NOUN|2700|141|11|SPEC|||2|1.0
2812|корпус|корпус|корпус|NOUN|2710|141|21||||20|2.0
2818|корпус|корпуса|корпуса|NOUN|2716|141|27||||20|2.0
2833|отсек|отсек|отсек|NOUN|2731|141|42||||4|1.0
2838|машина|машины|машины|NOUN|2736|142|4|SPEC|||6|1.0
2849|машина|машине|машине|NOUN|2747|143|10|SPEC|||6|1.0
2881|лист|лист|лист|NOUN|2779|146|9||||4|1.0
2883|фальшборт|фальшбортом|фальшбортом|NOUN|2781|146|11||||7|1.0
2893|офз|офз|ОФЗ|UPPR|2791|146|21|UPPR|||3|1.0
2895|калибр|калибров|калибров|NOUN|2793|146|23|SPEC|||2|1.0
2899|контакт|контакта|контакта|NOUN|2797|146|27||||4|1.0
2901|корпус|корпусом|корпусом|NOUN|2799|146|29||||20|1.0
2916|т-14|т-14|Т-14|DSNU|2814|147|14|DSNU|||3|1.0
2927|ширин|ширине|ширине|NOUN|2825|147|25||||7|1.0
2957|корпус|корпус|корпус|NOUN|2855|148|24||||20|1.0
2958|высота|высотой|высотой|NOUN|2856|148|25||||5|3.0
2959|полметра|полметра|полметра|NOUN|2857|148|26||||4|1.0
2965|механизм|механизмы|механизмы|NOUN|2863|148|32|SPEC|||1|1.0
2972|высота|высоте|высоте|NOUN|2870|148|39||||5|3.0
2978|копчиками/коленками|копчиками/коленками|копчиками/коленками|NAME|2876|148|45|NAME|||1|1.0
2979|ч/з|ч/з|ч/з|NAME|2877|148|46|NAME|||1|1.0
2982|ширин|ширине|ширине|NOUN|2880|148|49|WIQM|||7|1.0
2992|танк|танке|танке|NOUN|2890|148|59|SPEC|||20|1.0
2999|высота|высоте|высоте|NOUN|2897|148|66||||5|3.0
3013|корпус|корпуса|корпуса|NOUN|2911|149|6||||20|1.0
3017|броня|брони|брони|NOUN|2915|149|10|SPEC|||28|1.0
3028|мто|мто|МТО|ABVR|2925|149|20|SPEC|||9|1.0
3032|влд|влд|ВЛД|UPPR|2929|149|24|UPPR|||4|1.0
3036|нлд|нлд|НЛД|UPPR|2933|149|28|UPPR|||4|1.0
3043|дз|дз|ДЗ|ABVR|2940|150|3|SPEC|||12|1.0
3055|тонна|тоннах|тоннах|NOUN|2951|150|14||||18|1.0
3073|ося|осей|осей|NOUN|2968|150|31||||4|1.0
3074|диаметр|диаметром|диаметром|NOUN|2969|150|32||||4|1.0
3077|колесо|колеса|колеса|NOUN|2971|150|34||||11|1.0
3081|машина|машина|машина|NOUN|2975|150|38|SPEC|||6|1.0
3103|труп|труп|труп|NOUN|2997|151|20||||4|1.0
3108|стоя/лёжа|стоя/лёжа|стоя/лёжа|NAME|3002|151|25|NAME|||1|1.0
3118|тонна|тонн|тонн|NOUN|3011|152|8||||18|1.0
3126|реликт|реликт|Реликт|NOUN|3019|152|16|TITL|||9|3.0
3128|реликт|реликт|Реликт|NOUN|3021|152|18|TITL|||9|3.0
3133|броня|брони|брони|NOUN|3025|152|22|SPEC|||28|1.0
3134|реликт|реликт|Реликт|NOUN|3026|152|23|TITL|||9|3.0
3139|бтр|бтр|БТР|ABVR|3031|153|4|SPEC|||5|1.0
3145|пушка|пушками|пушками|NOUN|3037|153|10|SPEC|||7|1.0
3159|градус|градусов|градусов|NOUN|3049|154|6||||4|1.0
3169|бпс|бпс|БПС|ABVR|3059|154|16|SPEC|||3|1.0
3170|абрамс|абрамс|Абрамс|TITL|3060|154|17|TITL|||1|1.0
3175|лоб|лоб|лоб|NOUN|3065|154|22||||4|1.0
3177|борт|борт|борт|NOUN|3067|154|24||||11|1.0
3178|корпус|корпуса|корпуса|NOUN|3068|154|25||||20|1.0
3183|градус|градусов|градусов|NOUN|3072|155|3||||4|1.0
3185|борт|борт|борт|NOUN|3074|155|5||||11|1.0
3188|броня|брони|брони|NOUN|3077|155|8|SPEC|||28|1.0
3190|нии|нии|НИИ|ABVR|3079|155|10|SPEC|||3|1.0
3197|реликт|реликта|Реликта|NOUN|3085|155|16|TITL|||9|1.0
3200|свшп|свшп|СВШП|UPPR|3088|155|19|UPPR|||3|1.0
3204|экивалент*2|экивалент*2|экивалент*2|NAME|3092|155|23|NAME|||1|1.0
3207|угол|угле|угле|NOUN|3095|155|26||||4|1.0
3212|броневанна|броневанна|броневанна|ABVR|3100|155|31|ABVR|||6|1.0
3225|бпс|бпс|БПС|ABVR|3112|155|43|SPEC|||3|1.0
3231|сабж|сабж|сабж|NOUN|3118|156|5||||4|1.0
3239|д-артаньяном|д-артаньяном|Д-Артаньяном|DSNU|3126|156|13|DSNU|||1|1.0
