|lemm|word|tword|partlang|pos|idsent|sentpos|tkey|count_word_text|count_word_sent
613|течение|течение|течение|NOUN|771|33|20||1|1.0
614|полет|полета|полета|NOUN|773|33|22||2|1.0
615|другой|другие|другие|ADJF|776|34|3||6|1.0
616|мера|меры|меры|NOUN|777|34|4||4|1.0
617|связанный|связанные|связанные|ADJF|778|34|5||1|1.0
618|частность|частности|частности|NOUN|780|34|7||1|1.0
619|разработка|разработкой|разработкой|NOUN|782|34|9||7|1.0
620|совершенный|совершенного|совершенного|ADJF|784|34|11||1|1.0
621|электрооборудование|электрооборудования|электрооборудования|NOUN|785|34|12|SPEC|1|1.0
622|позволил|позволят|позволят|VERB|786|34|13||1|1.0
623|повысить|повысить|повысить|INFN|787|34|14||1|1.0
624|тяговооруженность|тяговооруженность|тяговооруженность|NOUN|788|34|15||1|1.0
625|экологичность|экологичность|экологичность|NOUN|789|34|16||1|1.0
626|экономичность|экономичность|экономичность|NOUN|791|34|18||1|1.0
627|маршевы|маршевых|маршевых|NOUN|792|34|19||3|1.0
628|двигатель|двигателей|двигателей|NOUN|793|34|20|SPEC|3|1.0
629|целое|целом|целом|NOUN|796|34|23||2|1.0
630|воздушный|воздушного|воздушного|ADJF|797|34|24||2|1.0
631|судно|судна|судна|NOUN|798|34|25|SPEC|2|1.0
632|снизить|снизить|снизить|INFN|799|34|26||1|1.0
633|трудоемкость|трудоемкость|трудоемкость|NOUN|800|34|27||1|1.0
634|технический|технического|технического|ADJF|801|34|28||2|1.0
635|обслуживание|обслуживания|обслуживания|NOUN|802|34|29||1|1.0
636|обеспечить|обеспечить|обеспечить|INFN|804|34|31||1|1.0
